file,league_season,import_scope,player_rows,club_count,clubs_with_rows,clubs_without_rows,missing_club_names,source_name,source_license,league_source,review_status
argentina-first-division-current-players.sample.json,Liga Profesional 2026,argentina-first-division-current-players,874,30,30,0,,Wikidata,CC0,https://www.ligaprofesional.ar/clubes,needs_manual_review
argentina-second-division-current-players.sample.json,Primera Nacional 2026,argentina-second-division-current-players,750,36,34,2,Acassuso; Club Ferrocarril Midland,Wikidata,CC0,https://en.wikipedia.org/wiki/2026_Primera_Nacional,needs_manual_review
bolivia-first-division-current-players.sample.json,FBF Division Profesional 2026,bolivia-first-division-current-players,179,16,9,7,Academia del Balompie Boliviano; GV San Jose; Club Independiente Petrolero; Real Oruro; Club Real Tomayapo; C.D. San Antonio Bulo Bulo; F.C. Universitario de Vinto,Wikidata,CC0,https://en.wikipedia.org/wiki/2026_FBF_Divisi%C3%B3n_Profesional,needs_manual_review
brazil-first-division-current-players.sample.json,Campeonato Brasileiro Serie A 2026,brazil-first-division-current-players,493,20,20,0,,Wikidata,CC0,https://www.cbf.com.br/futebol-brasileiro/times/campeonato-brasileiro/serie-a/2026,needs_manual_review
brazil-second-division-current-players.sample.json,Campeonato Brasileiro Serie B 2026,brazil-second-division-current-players,411,20,19,1,Athletic Club,Wikidata,CC0,https://en.wikipedia.org/wiki/2026_Campeonato_Brasileiro_S%C3%A9rie_B,needs_manual_review
canada-first-division-current-players.sample.json,Canadian Premier League 2026,canada-first-division-current-players,162,9,8,1,FC Supra,Wikidata,CC0,https://en.wikipedia.org/wiki/2026_Canadian_Premier_League_season,needs_manual_review
chile-first-division-current-players.sample.json,Liga de Primera 2026,chile-first-division-current-players,465,16,15,1,Club de Deportes Limache,Wikidata,CC0,https://www.campeonatochileno.cl/competition/liga-de-primera/,needs_manual_review
colombia-first-division-current-players.sample.json,Liga DIMAYOR 2026,colombia-first-division-current-players,694,20,20,0,,Wikidata,CC0,https://en.wikipedia.org/wiki/2026_Liga_DIMAYOR,needs_manual_review
ecuador-first-division-current-players.sample.json,LigaPro Serie A 2026,ecuador-first-division-current-players,408,16,14,2,Leones F.C.; Libertad F.C.,Wikidata,CC0,https://en.wikipedia.org/wiki/2026_LigaPro_Serie_A,needs_manual_review
mexico-first-division-current-players.sample.json,Liga MX Apertura 2026,mexico-first-division-current-players,709,18,18,0,,Wikidata,CC0,https://en.wikipedia.org/wiki/Liga_MX,needs_manual_review
mls-first-division-current-players.sample.json,Major League Soccer 2026,mls-first-division-current-players,853,30,30,0,,Wikidata,CC0,https://www.mlssoccer.com/clubs,needs_manual_review
paraguay-first-division-current-players.sample.json,Copa de Primera 2026,paraguay-first-division-current-players,248,12,12,0,,Wikidata,CC0,https://en.wikipedia.org/wiki/2026_Copa_de_Primera,needs_manual_review
peru-first-division-current-players.sample.json,Liga 1 2026,peru-first-division-current-players,289,18,15,3,FC Cajamarca; Club Deportivo Moquegua; Juan Pablo II College,Wikidata,CC0,https://en.wikipedia.org/wiki/2026_Liga_1_(Peru),needs_manual_review
uruguay-first-division-current-players.sample.json,Liga AUF Uruguaya 2026,uruguay-first-division-current-players,493,16,16,0,,Wikidata,CC0,https://es.wikipedia.org/wiki/Campeonato_Uruguayo_de_Primera_Divisi%C3%B3n_2026,needs_manual_review
venezuela-first-division-current-players.sample.json,Liga FUTVE 2026,venezuela-first-division-current-players,267,14,13,1,Anzoategui F.C.,Wikidata,CC0,https://es.wikipedia.org/wiki/Primera_Divisi%C3%B3n_de_Venezuela_2026,needs_manual_review
